GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GestionDesEtudiants,Server,BD,3,17,0,2,2,7,0,3,0,2
GestionDesEtudiants,Server,AdminDAO,88,399,6,14,27,113,7,13,1,9
GestionDesEtudiants,Server,Server,3,23,0,0,2,9,1,1,1,1
GestionDesEtudiants,client,Client,9,51,0,0,2,12,2,7,2,7
GestionDesEtudiants,Entite,etdClass,0,53,0,0,0,21,0,10,0,10
GestionDesEtudiants,Entite,Admin,0,56,0,0,0,20,0,11,0,11
GestionDesEtudiants,Entite,Etudiant,0,77,0,0,0,25,0,18,0,18
GestionDesEtudiants,IHM,GestionEtdIHM.new WindowAdapter() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ListSelectionListener() {...},22,0,4,0,6,0,4,0,2,0
GestionDesEtudiants,IHM,LoginIHM,582,0,6,0,136,0,11,0,8,0
GestionDesEtudiants,IHM,GestionEtdIHM,2208,0,58,0,443,0,48,0,19,0
GestionDesEtudiants,IHM,AdminAccueilIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,AdminAccueilIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,AdminAccueilIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,AdminAccueilIHM,647,0,4,0,143,0,8,0,6,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new DefaultTableModel() {...},41,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,AdminAccueilIHM.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new DefaultTableModel() {...},41,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new Runnable() {...},18,0,0,0,6,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM.new KeyAdapter() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,LoginIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,LoginIHM.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new KeyAdapter() {...},11,0,0,0,3,0,2,0,2,0
GestionDesEtudiants,IHM,GestionEtdIHM.new Runnable() {...},18,0,0,0,6,0,2,0,2,0
GestionDesEtudiants,IHM,ListeEtdIHM,1449,0,22,0,274,0,24,0,13,0
